Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
Maryland,B10,22,11-113–8,106.894,98.088,.729386,48.2245,4889,17.7100,15.6325,27.6204,27.2118,36.241,22.829,48.7213,46.865,31.6265,33.2163,66.8217,-3.3135
Towson,CAA,22,16-67–2,110.544,101.5160,.726387,51.4114,47.361,17.378,18.5182,35.416,28.3176,33.972,30.6193,49.8166,47.176,35.963,31.686,64.5321,-1.991
Bradley   (A) 102 Northern Iowa,MVC,21,12-106–4,105.0119,96.563,.724988,51.8102,45.833,19.8245,18.9158,31.679,25.672,27.6248,30.6193,51.5105,44.721,34.9100,31.8100,67.6170,-5.3182
UCF,Amer,19,12-74–5,107.586,99.0113,.719889,51127,48.5116,19.8245,22.137,31.679,31.1275,29.4199,30.6193,50.2153,51237,34.8110,30.239,67.7160,-1.174
Virginia,ACC,22,13-97–5,107.389,99.0110,.717190,50.3159,49140,16.754,18.8163,29.1149,29.6232,29210,24.144,50.6136,46.558,33200,35.1256,58.8358,-2.4103
Penn St.,B10,18,9-94–6,104.8123,96.867,.713791,50.5151,48.4112,19.8245,14.2347,29.8135,25.774,24.8313,25.977,51.3112,45.840,33200,35247,62.3349,-1.989
Minnesota   (H) 5 Purdue,B10,18,11-72–7,108.569,100.2138,.712592,5293,48.2100,14.38,16.2303,18.8354,28.9203,24.7315,21.410,51.4109,50.9231,35.479,28.717,64.6315,-0.766
Liberty,ASun,19,15-76–1,108.079,99.9128,.709593,56.66,47.259,18.7167,18.3194,21.4339,2439,28.4228,33247,54.735,45.535,398,33.3167,64.4326,-3.6141
George Mason   (H) 54 Saint Louis,A10,18,11-74–1,106.596,98.6100,.708894,55.514,48.8132,17.9115,18.3194,25.5263,22.816,28.5225,27.3107,5615,47.794,36.645,33.5178,65.1305,-3.2133
Vermont   (H) 338 NJIT,AE,19,16-48–0,110.643,102.4175,.708095,56.48,49.9180,14.914,17.1272,21.2340,18.82,27.4255,23.433,58.65,47.9102,35.864,35.1256,65.2301,-0.764
Vanderbilt   (A) 4 Kentucky,SEC,20,11-93–5,103.1155,95.650,.705496,48.6231,48.195,18.8171,22.728,28.8162,29.6232,37.822,30.7197,49.2187,50.6216,31.9249,29.831,66.1256,-3122
Richmond,A10,22,14-85–4,107.685,99.8127,.702697,52.282,50.8217,14.16,19.5124,23.6302,28.4180,28.7220,23.734,5368,49.8173,34148,35.1256,67.6165,-2.297
UNLV,MWC,21,13-95–4,106.993,99.2116,.702298,48.7228,49.2148,1763,18.6176,27.2216,26.491,32125,29.7168,48.6218,48.8141,32.5233,33.1150,67.4178,-2.8113
Hofstra,CAA,19,13-85–3,109.457,101.5162,.701699,53.251,53.8323,15.218,19.9102,23313,27.1115,22.6340,24.651,56.512,51.4249,32.6230,37.8331,68.6117,-2.6109
Grand Canyon,WAC,17,14-54–3,102.9161,96.664,.6750100,50.8139,43.27,20254,18.5182,36.79,28.7192,29.2207,32.2232,50.1155,45.944,34.5120,24.91,65.4296,-2.196
,,,,,,,,,,,,,,,,,,,,
Rhode Island   (A) 196 Fordham,A10,18,12-73–4,100.4214,94.237,.6745101,52.859,4413,20.3271,20.391,27.3214,29.4224,37.425,35.3295,53.363,42.59,34.4127,30.758,66261,-3.4137
Northern Iowa   (H) 88 Bradley,MVC,19,11-97–3,108.274,101.9167,.6661102,5353,53.5317,17.270,17276,21.5338,18.31,35.156,24.959,53.751,54.3327,34.7112,35.1256,67.7163,-4.4166
North Carolina St.   (H) 68 Syracuse,ACC,22,10-123–8,111.436,104.9232,.6660103,49215,52.2269,14.812,18.7171,32.261,31.8303,30.1185,29.1150,48.1234,50.8227,33.5176,36.7311,67.1197,-4.9176
Drake   (A) 151 Indiana St.,MVC,20,16-67–2,107.091,100.9149,.6640104,51.7109,50.3195,16.651,19.1148,31102,26.8101,31159,34.7282,51.6101,49.4161,34.6115,34.5228,66262,-1.380
New Mexico St.,WAC,17,17-36–1,105.4110,99.4123,.6624105,53.347,45.627,20.9298,15.8318,32.261,25.263,35.851,29.9175,54.439,46.762,34.5120,29.424,67204,0.940
Utah Valley,WAC,18,14-65–3,105.4112,99.4124,.6613106,52.575,45.833,21.2314,15.9314,32.653,24.648,36.932,28129,51.2116,45.840,3731,30.551,65.2304,-2.5105
Colorado,P12,21,13-85–6,101.8187,96.259,.6583107,48.6231,47.780,20.5282,18.3194,30.2125,24.852,36.833,27.5115,47.5258,46.970,34148,32.7133,67199,-1.378
Middle Tennessee,CUSA,18,14-65–2,103.3153,97.983,.6493108,50.3159,48.5116,19.6229,2238,30.3122,28.2171,32.3111,39.5334,53.849,48.1110,30.6298,32.7133,69.191,-1.992
Utah,P12,22,8-141–11,107.487,101.9166,.6472109,48253,47.884,19.4218,14.4342,30.8107,29.5227,30.5171,29.7168,46.3296,49.3160,33.7169,3033,66.3245,-6.6227
Stanford,P12,20,13-76–4,102.2176,97.072,.6447110,49.1210,50.7213,22.6347,17.3261,33.929,228,36.536,30.4187,47.9245,53.2304,34.1147,31.477,67.7162,0.646
Rutgers,B10,21,12-96–5,100.9203,95.954,.6407111,47.7263,47.571,17.7100,19.2143,30.4117,27111,26.7277,28.1135,46.9276,45.329,32.9206,33.7186,65.7273,-2.7112
DePaul,BE,20,10-101–9,104.6126,99.7125,.6351112,48.5237,48.3108,18.1130,17.4257,32.849,28.2171,32.997,24.755,48.7213,46.659,32247,34.2216,69.388,-3.7147
Wofford,SC,21,13-105–6,109.260,104.2214,.6326113,54.727,54.7341,17.694,20.672,27.4209,23.221,28.3234,29.6165,55.522,52.6292,3661,38.2340,64.9309,-5.6193
Louisville,ACC,22,11-115–7,103.3152,98.6102,.6319114,49.1210,48.195,17.9115,16.4297,26.6236,2555,28.3234,31.8224,49201,46.865,32.9206,33.3167,67.8155,-4.4167
Oakland,Horz,19,16-59–1,103.6150,98.9108,.6310115,48.8221,48.9138,18.1130,21.156,31.297,32.3315,33.876,21.410,52.480,53.3308,28.9333,28.513,69.678,-0.562
California,P12,22,9-132–9,103.3154,98.7103,.6264116,48.6231,47.157,1763,14.4342,24.2288,23.322,24.2325,29.9175,47.9245,48.2120,33.5176,30.136,63.8335,-5.6192
Wagner,NEC,15,14-28–0,102.4173,97.984,.6264117,51.1123,47.467,19188,23.220,33.340,26.695,32.4108,40337,54.831,48.6137,27.5348,30.447,68.1141,0.645
South Carolina,SEC,20,13-84–5,98.5248,94.438,.6198118,47.7263,46.238,21.6330,22.431,34.324,32.3315,30.3176,44.3350,47.5258,46.151,31.9249,3167,70.451,-1.379
Seattle,WAC,19,17-48–0,101.0200,96.866,.6194119,50.8139,47.676,16.754,21.351,25.2268,23.937,28.9212,40.5342,49.4180,47.384,34.9100,32109,70.743,-1.277
St. Bonaventure,A10,18,12-64–3,108.865,104.6224,.6124120,49.6187,50.5205,16.339,17.3261,29.6141,27.2118,31.3144,22.322,50.4145,48105,31.8253,35.7278,65.3300,-173
Morehead St.,OVC,20,17-69–1,104.5132,100.6142,.6082121,52.956,4889,20.9298,17.5248,30.8107,29.7236,31.4141,22.121,51.4109,47.899,36.934,32.3120,64.9307,-171
Jacksonville St.,ASun,19,15-68–0,105.4111,101.5159,.6078122,5436,4889,21.1307,17.8227,29.7140,2681,36.143,20.88,48.8207,48.8141,40.65,31.374,65.6281,-295
Delaware,CAA,21,15-76–3,109.162,105.0237,.6068123,54.630,50.4201,19.2205,18.2202,27.8200,30244,33.192,30180,55.426,47.589,35.667,36.8315,66.9209,-3.1125
Southern Illinois   (H) 62 Missouri St.,MVC,21,11-114–6,101.4197,97.780,.6048124,51.1123,48.8132,18.3139,17.9220,24.7277,22.210,29.7188,26.794,50160,50.4206,3596,30.345,61.8351,-6.2219
South Alabama,SB,17,15-65–3,104.7124,101.1153,.5987125,52.188,48.195,19.1194,21.940,26.2247,31.8303,31.1154,31.8224,52.872,48.5134,33.8164,31.686,68.8102,-2.5104
,,,,,,,,,,,,,,,,,,,,
Oral Roberts,Sum,19,15-79–2,108.471,104.9233,.5928126,54.923,48.9138,14.710,13.5354,25.7260,25.468,20.6352,24.857,5292,49.7169,38.711,31.686,70.550,-3.1128
Saint Joseph's,A10,20,9-113–6,103.1156,100.1133,.5858127,50.4155,48.3108,20.1259,14348,28.2184,24.142,24.5320,26.282,49.9162,46.151,34148,35.8285,7063,-5.8201
Temple   (A) 160 East Carolina,Amer,18,11-74–3,101.7191,98.8104,.5821128,46309,45.627,18.1130,17.5248,33.242,31271,37.920,28.3139,46.9276,45.127,29.7321,30.963,65.7274,-1.888
Gardner Webb   (A) 240 High Point,BSth,18,11-105–3,98.1255,95.548,.5776129,49.9177,45.526,20.3271,19.5124,26.7232,27.6139,28.4228,34.8285,50.5140,48.5134,32.7221,27.65,67.7161,-6.1211
Georgia Tech   (A) 49 Virginia Tech,ACC,19,9-112–7,99.4229,97.070,.5707130,49.6187,49.5163,19.1194,19.4132,26.1249,27.4127,26.1288,30.9204,48.2228,50.5211,34.9100,31.9103,68.1144,-5.5191
Monmouth,MAAC,20,13-75–4,101.5193,99.3121,.5629131,48.5237,46.444,18.3139,17.5248,28.7166,26.385,3731,32.8243,47.9245,45.329,33.1193,31.9103,67.7159,-2.6111
Longwood   (A) 239 UNC Asheville,BSth,16,15-57–0,105.7107,103.6201,.5584132,52.188,50184,18.6164,2099,33.436,26.385,33.583,28.9146,50.1155,51.8265,37.130,31.8100,67.1198,-2.8115
Navy   (A) 309 Lehigh,Pat,20,14-77–3,98.3250,96.462,.5542133,49.4193,47.676,19.8245,20.576,32.653,25.158,28240,32.8243,49.2187,47.794,33.1193,31.686,65.5291,-3.5138
Nevada,MWC,18,9-103–5,102.8165,100.8147,.5539134,48.8221,52.4277,18.5153,18.1209,24.6280,26.385,32.4108,27.6119,50.8128,51.3246,30.4302,35.8285,71.425,-4.1157
