date,team,opponent,result
11-10,Idaho,Long Beach St.,"L, 95-89 OT"
11-12,Idaho,George Fox,"W, 95-85 "
11-15,Idaho,Fresno St.,"L, 69-62 "
11-18,Idaho,Washington St.,"L, 109-61 "
11-22,Idaho,Utah Valley,"L, 83-45 "
11-24,Idaho,Cal Poly,"L, 67-63 "
11-27,Idaho,North Dakota St.,"L, 90-73 "
12-04,Idaho,Southern Utah,"L, 81-75 "
12-08,Idaho,South Dakota St.,"W, 98-84 "
12-11,Idaho,Cal St. Bakersfield,"L, 59-58 "
12-18,Idaho,SAGU American Indian,"W, 84-55 "
1-06,Idaho,Montana St.,"L, 92-72 "
1-08,Idaho,Eastern Washington,"L, 96-93 "
1-13,Idaho,Weber St.,"L, 84-74 "
1-15,Idaho,Idaho St.,"L, 81-74 "
1-17,Idaho,Northern Arizona,"L, 74-72 "
1-20,Idaho,Northern Colorado,"L, 87-70 "
1-22,Idaho,Sacramento St.,"W, 73-72 OT"
1-24,Idaho,Portland St.,"W, 84-79 "
1-27,Idaho,Montana,"L, 81-62 "
1-29,Idaho,Montana St.,"L, 70-64 "
2-03,Idaho,Southern Utah,"L, 75-59 "
2-10,Idaho,Idaho St.,"L, 79-70 "
2-12,Idaho,Weber St.,"W, 83-79 "
2-17,Idaho,Montana,"W, 82-76 "
2-19,Idaho,Eastern Washington,"W, 83-80 "
2-24,Idaho,Sacramento St.,"L, 83-51 "
2-26,Idaho,Northern Colorado,"L, 98-94 "
3-03,Idaho,Portland St.,"L, 79-68 "
3-05,Idaho,Northern Arizona,"W, 78-69 "
3-09,Idaho,Sacramento St.,"L, 57-54 "
11-09,Idaho+St.,Eastern Oregon,"W, 82-61 "
11-12,Idaho+St.,Pepperdine,"L, 65-60 "
11-14,Idaho+St.,Seattle,"L, 77-51 "
11-19,Idaho+St.,Nebraska,"L, 78-60 "
11-22,Idaho+St.,UMKC,"L, 74-58 "
11-27,Idaho+St.,Air Force,"L, 59-48 "
12-02,Idaho+St.,Portland St.,"L, 63-55 "
12-04,Idaho+St.,Northern Arizona,"L, 73-70 "
12-08,Idaho+St.,California,"L, 72-46 "
12-18,Idaho+St.,Bethesda (CA),"W, 103-68 "
12-22,Idaho+St.,UC Santa Barbara,"L, 56-43 "
12-30,Idaho+St.,Montana,"L, 78-54 "
1-01,Idaho+St.,Montana St.,"L, 60-40 "
1-15,Idaho+St.,Idaho,"W, 81-74 "
1-17,Idaho+St.,Weber St.,"L, 78-61 "
1-20,Idaho+St.,Weber St.,"L, 95-63 "
1-22,Idaho+St.,Southern Utah,"L, 86-74 "
1-24,Idaho+St.,Eastern Washington,"L, 89-63 "
1-27,Idaho+St.,Sacramento St.,"L, 61-60 "
2-05,Idaho+St.,Montana,"W, 86-63 "
2-07,Idaho+St.,Montana St.,"L, 72-54 "
2-10,Idaho+St.,Idaho,"W, 79-70 "
2-12,Idaho+St.,Eastern Washington,"L, 75-72 "
2-17,Idaho+St.,Northern Colorado,"W, 61-58 "
2-19,Idaho+St.,Sacramento St.,"L, 80-75 "
2-21,Idaho+St.,Northern Colorado,"L, 77-70 "
2-24,Idaho+St.,Northern Arizona,"W, 70-66 "
2-26,Idaho+St.,Portland St.,"L, 73-69 OT"
3-03,Idaho+St.,Southern Utah,"L, 79-71 "
3-09,Idaho+St.,Portland St.,"L, 66-52 "
11-09,Montana,Dickinson St.,"W, 74-27 "
11-13,Montana,Mississippi St.,"L, 86-49 "
11-15,Montana,North Dakota,"L, 79-77 "
11-20,Montana,Nebraska Omaha,"W, 68-47 "
11-24,Montana,UC San Diego,"W, 71-61 "
11-26,Montana,Southern Miss,"W, 74-62 "
11-29,Montana,Oregon,"L, 87-47 "
12-02,Montana,Sacramento St.,"W, 65-58 "
12-04,Montana,Northern Colorado,"L, 78-75 "
12-08,Montana,Air Force,"W, 66-48 "
12-10,Montana,Yellowstone Chris.,"W, 104-43 "
12-13,Montana,SAGU American Indian,"W, 118-49 "
12-19,Montana,Santa Clara,"L, 79-64 "
12-30,Montana,Idaho St.,"W, 78-54 "
1-01,Montana,Weber St.,"W, 74-72 "
1-06,Montana,Eastern Washington,"W, 90-78 "
1-09,Montana,Montana St.,"L, 66-59 "
1-20,Montana,Portland St.,"W, 66-64 "
1-22,Montana,Northern Arizona,"W, 58-48 "
1-27,Montana,Idaho,"W, 81-62 "
1-29,Montana,Eastern Washington,"W, 61-59 "
2-03,Montana,Weber St.,"L, 80-75 "
2-05,Montana,Idaho St.,"L, 86-63 "
2-07,Montana,Southern Utah,"W, 78-67 "
2-10,Montana,Northern Arizona,"L, 72-67 OT"
2-12,Montana,Portland St.,"W, 85-76 "
2-17,Montana,Idaho,"L, 82-76 "
2-24,Montana,Southern Utah,"L, 82-74 "
2-27,Montana,Montana St.,"W, 80-74 "
3-03,Montana,Northern Colorado,"L, 75-66 "
3-05,Montana,Sacramento St.,"L, 72-71 "
3-10,Montana,Weber St.,"L, 68-56 "
11-09,Montana+St.,Colorado,"L, 94-90 OT"
11-14,Montana+St.,Rocky Mountain,"W, 81-52 "
11-17,Montana+St.,South Dakota St.,"L, 91-74 "
11-20,Montana+St.,New Mexico,"L, 81-78 "
11-26,Montana+St.,Portland,"W, 69-66 "
11-27,Montana+St.,Incarnate Word,"W, 83-64 "
11-28,Montana+St.,Southeast Missouri St.,"W, 75-68 "
12-02,Montana+St.,Northern Colorado,"L, 77-75 OT"
12-04,Montana+St.,Sacramento St.,"W, 68-66 "
12-07,Montana+St.,North Dakota St.,"W, 68-49 "
12-11,Montana+St.,St. Thomas,"W, 72-65 "
12-19,Montana+St.,Portland,"W, 61-59 "
12-22,Montana+St.,SAGU American Indian,"W, 124-73 "
12-30,Montana+St.,Weber St.,"L, 85-75 "
1-01,Montana+St.,Idaho St.,"W, 60-40 "
1-06,Montana+St.,Idaho,"W, 92-72 "
1-09,Montana+St.,Montana,"W, 66-59 "
1-20,Montana+St.,Northern Arizona,"W, 89-84 "
1-22,Montana+St.,Portland St.,"W, 73-60 "
1-27,Montana+St.,Eastern Washington,"W, 69-65 "
1-29,Montana+St.,Idaho,"W, 70-64 "
2-05,Montana+St.,Weber St.,"W, 78-57 "
2-07,Montana+St.,Idaho St.,"W, 72-54 "
2-10,Montana+St.,Portland St.,"W, 77-74 "
2-12,Montana+St.,Northern Arizona,"W, 72-70 "
2-17,Montana+St.,Eastern Washington,"L, 88-86 OT"
2-19,Montana+St.,Southern Utah,"W, 76-71 "
2-27,Montana+St.,Montana,"L, 80-74 "
3-01,Montana+St.,Southern Utah,"W, 69-53 "
3-03,Montana+St.,Sacramento St.,"W, 75-69 "
3-05,Montana+St.,Northern Colorado,"W, 87-85 "
3-10,Montana+St.,Sacramento St.,"W, 83-61 "
3-11,Montana+St.,Weber St.,"W, 69-66 "
3-12,Montana+St.,Northern Colorado,"W, 87-66 "
3-18,Montana+St.,Texas Tech,"+14.0, 71-577%"
11-09,North+Dakota,Milwaukee,"L, 75-60 "
11-15,North+Dakota,Montana,"W, 79-77 "
11-19,North+Dakota,Troy,"W, 74-72 "
11-20,North+Dakota,Florida Atlantic,"L, 98-79 "
11-21,North+Dakota,Tennessee Martin,"L, 77-72 "
11-24,North+Dakota,FIU,"L, 65-56 "
11-28,North+Dakota,Kansas St.,"L, 84-42 "
11-30,North+Dakota,Presentation,"W, 72-55 "
12-03,North+Dakota,San Jose St.,"L, 76-51 "
12-07,North+Dakota,Cal Baptist,"L, 89-71 "
12-11,North+Dakota,Eastern Washington,"L, 76-60 "
12-14,North+Dakota,North Central (MN),"W, 110-65 "
12-18,North+Dakota,Dixie St.,"L, 78-69 "
12-22,North+Dakota,North Dakota St.,"L, 86-76 "
1-06,North+Dakota,Nebraska Omaha,"L, 98-82 "
1-08,North+Dakota,Denver,"L, 93-74 "
1-10,North+Dakota,South Dakota,"L, 75-68 "
1-13,North+Dakota,Western Illinois,"L, 73-68 "
1-20,North+Dakota,Oral Roberts,"L, 80-76 "
1-22,North+Dakota,UMKC,"L, 79-74 "
1-27,North+Dakota,South Dakota St.,"L, 96-61 "
1-29,North+Dakota,South Dakota,"L, 71-58 "
1-31,North+Dakota,South Dakota St.,"L, 70-64 "
2-03,North+Dakota,Denver,"L, 81-79 OT"
2-05,North+Dakota,Nebraska Omaha,"W, 92-85 "
2-10,North+Dakota,St. Thomas,"W, 78-70 "
2-12,North+Dakota,Western Illinois,"L, 70-68 "
2-17,North+Dakota,UMKC,"L, 80-65 "
2-19,North+Dakota,Oral Roberts,"L, 87-73 "
2-22,North+Dakota,St. Thomas,"L, 84-74 "
2-26,North+Dakota,North Dakota St.,"L, 79-53 "
11-09,Northern+Arizona,Arizona,"L, 81-52 "
11-11,Northern+Arizona,Washington,"L, 73-62 "
11-15,Northern+Arizona,Benedictine Mesa,"W, 97-48 "
11-18,Northern+Arizona,Cal St. Bakersfield,"W, 74-64 "
11-20,Northern+Arizona,UT Rio Grande Valley,"W, 89-87 "
11-22,Northern+Arizona,UT Rio Grande Valley,"L, 82-80 "
11-24,Northern+Arizona,Cal St. Fullerton,"L, 73-56 "
12-02,Northern+Arizona,Weber St.,"L, 67-44 "
12-04,Northern+Arizona,Idaho St.,"W, 73-70 "
12-11,Northern+Arizona,South Dakota,"L, 76-71 OT"
12-18,Northern+Arizona,San Diego,"L, 69-59 "
12-20,Northern+Arizona,Gonzaga,"L, 95-49 "
1-01,Northern+Arizona,Eastern Washington,"L, 78-65 "
1-05,Northern+Arizona,Embry-Riddle (AZ),"W, 101-54 "
1-17,Northern+Arizona,Idaho,"W, 74-72 "
1-20,Northern+Arizona,Montana St.,"L, 89-84 "
1-22,Northern+Arizona,Montana,"L, 58-48 "
1-24,Northern+Arizona,Sacramento St.,"W, 70-65 "
1-29,Northern+Arizona,Portland St.,"L, 97-76 "
1-31,Northern+Arizona,Southern Utah,"L, 78-66 "
2-03,Northern+Arizona,Sacramento St.,"W, 62-61 "
2-05,Northern+Arizona,Northern Colorado,"L, 74-71 "
2-07,Northern+Arizona,Northern Colorado,"L, 82-60 "
2-10,Northern+Arizona,Montana,"W, 72-67 OT"
2-12,Northern+Arizona,Montana St.,"L, 72-70 "
2-17,Northern+Arizona,Portland St.,"L, 68-67 "
2-21,Northern+Arizona,Southern Utah,"L, 79-48 "
2-24,Northern+Arizona,Idaho St.,"L, 70-66 "
2-26,Northern+Arizona,Weber St.,"L, 73-49 "
3-03,Northern+Arizona,Eastern Washington,"L, 69-62 "
3-05,Northern+Arizona,Idaho,"L, 78-69 "
3-09,Northern+Arizona,Eastern Washington,"L, 78-75 "
11-10,Northern+Colorado,Pacific,"W, 67-65 "
11-11,Northern+Colorado,Hawaii,"W, 81-78 "
11-13,Northern+Colorado,Hawaii Hilo,"L, 87-79 OT"
11-15,Northern+Colorado,Colorado Col.,"W, 93-53 "
11-17,Northern+Colorado,Texas,"L, 62-49 "
11-21,Northern+Colorado,Cal Baptist,"L, 74-70 "
11-23,Northern+Colorado,San Jose St.,"L, 75-74 "
11-27,Northern+Colorado,Colorado St.,"L, 88-79 "
12-02,Northern+Colorado,Montana St.,"W, 77-75 OT"
12-04,Northern+Colorado,Montana,"W, 78-75 "
12-07,Northern+Colorado,South Dakota,"W, 74-69 "
12-15,Northern+Colorado,Arizona,"L, 101-76 "
12-18,Northern+Colorado,Washington St.,"L, 82-56 "
12-21,Northern+Colorado,Northern New Mexico,"W, 90-54 "
1-01,Northern+Colorado,Southern Utah,"W, 91-81 "
1-08,Northern+Colorado,Sacramento St.,"L, 85-71 "
1-20,Northern+Colorado,Idaho,"W, 87-70 "
1-22,Northern+Colorado,Eastern Washington,"W, 87-83 "
1-27,Northern+Colorado,Weber St.,"L, 85-76 "
1-31,Northern+Colorado,Portland St.,"L, 79-76 "
2-03,Northern+Colorado,Portland St.,"L, 106-99 "
2-05,Northern+Colorado,Northern Arizona,"W, 74-71 "
2-07,Northern+Colorado,Northern Arizona,"W, 82-60 "
2-10,Northern+Colorado,Sacramento St.,"W, 79-61 "
2-14,Northern+Colorado,Southern Utah,"W, 100-95 "
2-17,Northern+Colorado,Idaho St.,"L, 61-58 "
2-19,Northern+Colorado,Weber St.,"W, 83-79 OT"
2-21,Northern+Colorado,Idaho St.,"W, 77-70 "
2-24,Northern+Colorado,Eastern Washington,"L, 85-76 "
2-26,Northern+Colorado,Idaho,"W, 98-94 "
3-03,Northern+Colorado,Montana,"W, 75-66 "
3-05,Northern+Colorado,Montana St.,"L, 87-85 "
3-10,Northern+Colorado,Eastern Washington,"W, 68-67 "
3-11,Northern+Colorado,Portland St.,"W, 86-79 "
3-12,Northern+Colorado,Montana St.,"L, 87-66 "
3-20,Northern+Colorado,Florida Atlantic,"+5.8, 81-7530%"
11-09,Portland+St.,Oregon St.,"L, 73-64 "
11-12,Portland+St.,Evergreen St.,"W, 100-44 "
11-17,Portland+St.,George Fox,"W, 104-58 "
11-23,Portland+St.,Portland,"L, 69-54 "
11-26,Portland+St.,Iowa,"L, 85-51 "
12-02,Portland+St.,Idaho St.,"W, 63-55 "
12-04,Portland+St.,Weber St.,"L, 80-69 "
12-11,Portland+St.,Cal Poly,"L, 61-58 "
12-18,Portland+St.,Cal St. Northridge,"L, 69-66 "
12-21,Portland+St.,Utah St.,"L, 81-62 "
12-30,Portland+St.,Eastern Washington,"L, 63-58 "
1-15,Portland+St.,Sacramento St.,"W, 67-62 "
1-17,Portland+St.,Southern Utah,"L, 86-76 "
1-20,Portland+St.,Montana,"L, 66-64 "
1-22,Portland+St.,Montana St.,"L, 73-60 "
1-24,Portland+St.,Idaho,"L, 84-79 "
1-27,Portland+St.,Southern Utah,"L, 85-82 OT"
1-29,Portland+St.,Northern Arizona,"W, 97-76 "
1-31,Portland+St.,Northern Colorado,"W, 79-76 "
2-03,Portland+St.,Northern Colorado,"W, 106-99 "
2-05,Portland+St.,Sacramento St.,"W, 73-65 "
2-10,Portland+St.,Montana St.,"L, 77-74 "
2-12,Portland+St.,Montana,"L, 85-76 "
2-17,Portland+St.,Northern Arizona,"W, 68-67 "
2-24,Portland+St.,Weber St.,"W, 81-75 "
2-26,Portland+St.,Idaho St.,"W, 73-69 OT"
3-03,Portland+St.,Idaho,"W, 79-68 "
3-05,Portland+St.,Eastern Washington,"L, 83-75 "
3-09,Portland+St.,Idaho St.,"W, 66-52 "
3-10,Portland+St.,Southern Utah,"W, 77-65 "
3-11,Portland+St.,Northern Colorado,"L, 86-79 "
11-09,Sacramento+St.,William Jessup,"W, 89-59 "
11-13,Sacramento+St.,Utah,"L, 89-56 "
11-15,Sacramento+St.,Cal Poly,"W, 58-57 "
11-20,Sacramento+St.,UC San Diego,"L, 71-56 "
11-23,Sacramento+St.,UC Davis,"W, 75-63 "
11-27,Sacramento+St.,Arizona,"L, 105-59 "
12-02,Sacramento+St.,Montana,"L, 65-58 "
12-04,Sacramento+St.,Montana St.,"L, 68-66 "
12-17,Sacramento+St.,Menlo,"W, 67-53 "
12-30,Sacramento+St.,Southern Utah,"L, 64-51 "
1-08,Sacramento+St.,Northern Colorado,"W, 85-71 "
1-15,Sacramento+St.,Portland St.,"L, 67-62 "
1-20,Sacramento+St.,Eastern Washington,"L, 75-62 "
1-22,Sacramento+St.,Idaho,"L, 73-72 OT"
1-24,Sacramento+St.,Northern Arizona,"L, 70-65 "
1-27,Sacramento+St.,Idaho St.,"W, 61-60 "
1-29,Sacramento+St.,Weber St.,"L, 79-59 "
2-03,Sacramento+St.,Northern Arizona,"L, 62-61 "
2-05,Sacramento+St.,Portland St.,"L, 73-65 "
2-10,Sacramento+St.,Northern Colorado,"L, 79-61 "
2-12,Sacramento+St.,Southern Utah,"L, 83-57 "
2-17,Sacramento+St.,Weber St.,"L, 65-50 "
2-19,Sacramento+St.,Idaho St.,"W, 80-75 "
2-24,Sacramento+St.,Idaho,"W, 83-51 "
2-26,Sacramento+St.,Eastern Washington,"W, 81-75 "
3-03,Sacramento+St.,Montana St.,"L, 75-69 "
3-05,Sacramento+St.,Montana,"W, 72-71 "
3-09,Sacramento+St.,Idaho,"W, 57-54 "
3-10,Sacramento+St.,Montana St.,"L, 83-61 "
11-09,Southern+Utah,Bethesda (CA),"W, 116-74 "
11-12,Southern+Utah,Dixie St.,"L, 83-76 "
11-15,Southern+Utah,Saint Mary's,"L, 70-51 "
11-18,Southern+Utah,California,"L, 75-68 2OT"
11-23,Southern+Utah,Yale,"W, 88-85 OT"
11-24,Southern+Utah,Bowling Green,"W, 87-73 "
12-02,Southern+Utah,Eastern Washington,"W, 89-76 "
12-04,Southern+Utah,Idaho,"W, 81-75 "
12-08,Southern+Utah,Utah Valley,"W, 60-56 "
12-11,Southern+Utah,St. Katherine,"W, 100-61 "
12-18,Southern+Utah,Michigan,"L, 87-50 "
12-22,Southern+Utah,Dixie St.,"W, 87-59 "
12-30,Southern+Utah,Sacramento St.,"W, 64-51 "
1-01,Southern+Utah,Northern Colorado,"L, 91-81 "
1-17,Southern+Utah,Portland St.,"W, 86-76 "
1-22,Southern+Utah,Idaho St.,"W, 86-74 "
1-24,Southern+Utah,Weber St.,"L, 92-84 "
1-27,Southern+Utah,Portland St.,"W, 85-82 OT"
1-31,Southern+Utah,Northern Arizona,"W, 78-66 "
2-03,Southern+Utah,Idaho,"W, 75-59 "
2-05,Southern+Utah,Eastern Washington,"W, 84-72 "
2-07,Southern+Utah,Montana,"L, 78-67 "
2-12,Southern+Utah,Sacramento St.,"W, 83-57 "
2-14,Southern+Utah,Northern Colorado,"L, 100-95 "
2-19,Southern+Utah,Montana St.,"L, 76-71 "
2-21,Southern+Utah,Northern Arizona,"W, 79-48 "
2-24,Southern+Utah,Montana,"W, 82-74 "
3-01,Southern+Utah,Montana St.,"L, 69-53 "
3-03,Southern+Utah,Idaho St.,"W, 79-71 "
3-05,Southern+Utah,Weber St.,"W, 80-70 "
3-10,Southern+Utah,Portland St.,"L, 77-65 "
11-09,Weber+St.,Western Colo.,"W, 100-60 "
11-15,Weber+St.,Duquesne,"W, 63-59 "
11-18,Weber+St.,Massachusetts,"W, 88-73 "
11-19,Weber+St.,Ball St.,"W, 85-74 "
11-21,Weber+St.,Green Bay,"W, 68-58 "
11-27,Weber+St.,Dixie St.,"W, 87-70 "
12-02,Weber+St.,Northern Arizona,"W, 67-44 "
12-04,Weber+St.,Portland St.,"W, 80-69 "
12-08,Weber+St.,Washington St.,"L, 94-60 "
12-11,Weber+St.,Me.-Fort Kent,"W, 82-36 "
12-15,Weber+St.,Utah St.,"L, 95-80 "
12-18,Weber+St.,BYU,"L, 89-71 "
12-23,Weber+St.,Fresno St.,"L, 69-43 "
12-30,Weber+St.,Montana St.,"W, 85-75 "
1-01,Weber+St.,Montana,"L, 74-72 "
1-13,Weber+St.,Idaho,"W, 84-74 "
1-17,Weber+St.,Idaho St.,"W, 78-61 "
1-20,Weber+St.,Idaho St.,"W, 95-63 "
1-24,Weber+St.,Southern Utah,"W, 92-84 "
1-27,Weber+St.,Northern Colorado,"W, 85-76 "
1-29,Weber+St.,Sacramento St.,"W, 79-59 "
1-31,Weber+St.,Eastern Washington,"W, 90-84 "
2-03,Weber+St.,Montana,"W, 80-75 "
2-05,Weber+St.,Montana St.,"L, 78-57 "
2-10,Weber+St.,Eastern Washington,"L, 75-67 "
2-12,Weber+St.,Idaho,"L, 83-79 "
2-17,Weber+St.,Sacramento St.,"W, 65-50 "
2-19,Weber+St.,Northern Colorado,"L, 83-79 OT"
2-24,Weber+St.,Portland St.,"L, 81-75 "
2-26,Weber+St.,Northern Arizona,"W, 73-49 "
3-05,Weber+St.,Southern Utah,"L, 80-70 "
3-10,Weber+St.,Montana,"W, 68-56 "
3-11,Weber+St.,Montana St.,"L, 69-66 "
11-09,Eastern+Washington,Nevada,"L, 91-76 "
11-12,Eastern+Washington,UC Davis,"L, 84-76 "
11-15,Eastern+Washington,Walla Walla,"W, 111-71 "
11-19,Eastern+Washington,Cal St. Northridge,"W, 67-64 OT"
11-20,Eastern+Washington,Texas St.,"L, 81-74 "
11-27,Eastern+Washington,Washington St.,"W, 76-71 "
12-02,Eastern+Washington,Southern Utah,"L, 89-76 "
12-04,Eastern+Washington,Nebraska Omaha,"W, 92-81 "
12-08,Eastern+Washington,Colorado,"L, 60-57 "
12-11,Eastern+Washington,North Dakota,"W, 76-60 "
12-15,Eastern+Washington,Multnomah,"W, 95-56 "
12-22,Eastern+Washington,Texas Tech,"L, 78-46 "
12-30,Eastern+Washington,Portland St.,"W, 63-58 "
1-01,Eastern+Washington,Northern Arizona,"W, 78-65 "
1-06,Eastern+Washington,Montana,"L, 90-78 "
1-08,Eastern+Washington,Idaho,"W, 96-93 "
1-20,Eastern+Washington,Sacramento St.,"W, 75-62 "
1-22,Eastern+Washington,Northern Colorado,"L, 87-83 "
1-24,Eastern+Washington,Idaho St.,"W, 89-63 "
1-27,Eastern+Washington,Montana St.,"L, 69-65 "
1-29,Eastern+Washington,Montana,"L, 61-59 "
1-31,Eastern+Washington,Weber St.,"L, 90-84 "
2-05,Eastern+Washington,Southern Utah,"L, 84-72 "
2-10,Eastern+Washington,Weber St.,"W, 75-67 "
2-12,Eastern+Washington,Idaho St.,"W, 75-72 "
2-17,Eastern+Washington,Montana St.,"W, 88-86 OT"
2-19,Eastern+Washington,Idaho,"L, 83-80 "
2-24,Eastern+Washington,Northern Colorado,"W, 85-76 "
2-26,Eastern+Washington,Sacramento St.,"L, 81-75 "
3-03,Eastern+Washington,Northern Arizona,"W, 69-62 "
3-05,Eastern+Washington,Portland St.,"W, 83-75 "
3-09,Eastern+Washington,Northern Arizona,"W, 78-75 "
3-10,Eastern+Washington,Northern Colorado,"L, 68-67 "
11-09,Campbell,William Peace,"W, 85-50 "
11-12,Campbell,Hartford,"W, 68-67 "
11-13,Campbell,Duke,"L, 67-56 "
11-18,Campbell,Marshall,"W, 67-65 "
11-24,Campbell,Maryland Eastern Shore,"W, 66-55 "
11-27,Campbell,Stetson,"W, 60-58 "
11-30,Campbell,Lancaster Bible,"W, 83-39 "
12-04,Campbell,VCU,"L, 65-61 "
12-07,Campbell,Columbia Int'l,"W, 74-56 "
12-15,Campbell,Georgia Southern,"L, 69-66 "
12-22,Campbell,UNC Wilmington,"L, 65-58 "
1-05,Campbell,UNC Asheville,"L, 60-54 "
1-10,Campbell,Winthrop,"L, 74-72 "
1-12,Campbell,Charleston Southern,"W, 67-52 "
1-15,Campbell,Radford,"W, 70-58 "
1-19,Campbell,Longwood,"L, 72-64 "
1-22,Campbell,North Carolina A&T,"W, 73-72 "
1-26,Campbell,Hampton,"W, 75-60 "
1-29,Campbell,High Point,"W, 77-72 "
2-02,Campbell,Presbyterian,"L, 64-58 "
2-05,Campbell,USC Upstate,"W, 80-71 "
2-09,Campbell,Gardner Webb,"L, 57-45 "
2-12,Campbell,High Point,"W, 60-42 "
2-16,Campbell,Radford,"L, 71-67 "
2-19,Campbell,North Carolina A&T,"W, 64-63 "
2-23,Campbell,Hampton,"L, 68-66 "
2-26,Campbell,Longwood,"L, 60-55 "
3-02,Campbell,Presbyterian,"W, 75-72 2OT"
3-04,Campbell,Gardner Webb,"L, 54-53 "
11-09,Charleston+Southern,JWU (Charlotte),"W, 118-71 "
11-12,Charleston+Southern,Mississippi,"L, 93-68 "
11-17,Charleston+Southern,Wake Forest,"L, 95-59 "
11-20,Charleston+Southern,Bob Jones,"W, 119-63 "
11-22,Charleston+Southern,Georgia Tech,"L, 85-70 "
11-26,Charleston+Southern,Clemson,"L, 91-59 "
11-28,Charleston+Southern,Kennesaw St.,"L, 89-52 "
12-02,Charleston+Southern,Jacksonville,"L, 67-56 "
12-05,Charleston+Southern,Tarleton St.,"W, 59-57 "
12-16,Charleston+Southern,Tennessee St.,"L, 78-75 "
12-20,Charleston+Southern,Manhattan,"L, 99-75 "
12-21,Charleston+Southern,South Carolina St.,"L, 75-65 "
1-05,Charleston+Southern,Gardner Webb,"L, 88-63 "
1-08,Charleston+Southern,UNC Asheville,"L, 82-59 "
1-12,Charleston+Southern,Campbell,"L, 67-52 "
1-15,Charleston+Southern,Winthrop,"L, 70-65 "
1-19,Charleston+Southern,High Point,"W, 70-66 "
1-22,Charleston+Southern,USC Upstate,"L, 70-57 "
1-26,Charleston+Southern,Presbyterian,"L, 62-61 "
1-29,Charleston+Southern,Hampton,"L, 78-74 "
2-02,Charleston+Southern,Radford,"L, 64-52 "
2-05,Charleston+Southern,Longwood,"L, 69-67 "
2-07,Charleston+Southern,Toccoa Falls,"W, 97-60 "
2-09,Charleston+Southern,North Carolina A&T,"L, 62-51 "
2-12,Charleston+Southern,Gardner Webb,"L, 82-65 "
2-16,Charleston+Southern,UNC Asheville,"L, 85-66 "
2-19,Charleston+Southern,USC Upstate,"L, 78-73 OT"
2-23,Charleston+Southern,Presbyterian,"L, 68-48 "
2-26,Charleston+Southern,Winthrop,"L, 92-86 "
3-02,Charleston+Southern,UNC Asheville,"W, 79-78 "
3-04,Charleston+Southern,USC Upstate,"L, 72-62 "
11-10,Gardner+Webb,UNLV,"L, 64-58 "
11-13,Gardner+Webb,Arkansas,"L, 86-69 "
11-16,Gardner+Webb,Duke,"L, 92-52 "
11-20,Gardner+Webb,Carver,"W, 100-38 "
11-24,Gardner+Webb,Columbia Int'l,"W, 90-78 "
11-27,Gardner+Webb,Western Carolina,"W, 87-59 "
11-29,Gardner+Webb,North Carolina Central,"W, 83-58 "
12-04,Gardner+Webb,East Carolina,"L, 62-52 "
12-08,Gardner+Webb,Wofford,"L, 78-70 "
12-11,Gardner+Webb,VMI,"L, 64-61 "
12-15,Gardner+Webb,North Carolina Central,"L, 72-71 "
12-17,Gardner+Webb,Converse,"W, 79-46 "
12-29,Gardner+Webb,Georgia,"W, 77-60 "
1-05,Gardner+Webb,Charleston Southern,"W, 88-63 "
1-08,Gardner+Webb,Hampton,"W, 78-69 "
1-12,Gardner+Webb,Presbyterian,"W, 64-61 "
1-15,Gardner+Webb,Longwood,"L, 66-60 "
1-19,Gardner+Webb,USC Upstate,"L, 74-61 "
1-22,Gardner+Webb,Winthrop,"L, 64-62 "
1-27,Gardner+Webb,UNC Asheville,"W, 61-55 "
1-29,Gardner+Webb,Radford,"W, 61-42 "
2-02,Gardner+Webb,High Point,"W, 65-57 "
2-05,Gardner+Webb,North Carolina A&T,"W, 69-62 "
2-09,Gardner+Webb,Campbell,"W, 57-45 "
2-12,Gardner+Webb,Charleston Southern,"W, 82-65 "
2-16,Gardner+Webb,Winthrop,"L, 81-70 "
2-19,Gardner+Webb,Presbyterian,"W, 76-68 "
2-23,Gardner+Webb,UNC Asheville,"W, 60-59 "
2-26,Gardner+Webb,USC Upstate,"L, 72-70 "
3-04,Gardner+Webb,Campbell,"W, 54-53 "
3-05,Gardner+Webb,Winthrop,"L, 76-67 "
11-09,High+Point,Shenandoah,"W, 108-59 "
11-12,High+Point,Northwestern,"L, 95-60 "
11-16,High+Point,Notre Dame,"L, 70-61 "
11-20,High+Point,Howard,"W, 73-63 "
11-21,High+Point,Georgia St.,"L, 74-66 OT"
11-27,High+Point,Chowan,"W, 90-60 "
11-30,High+Point,Furman,"L, 74-70 2OT"
12-04,High+Point,Elon,"W, 83-77 "
12-07,High+Point,Guilford,"W, 64-59 "
12-10,High+Point,South Carolina St.,"L, 67-66 "
12-18,High+Point,UNC Wilmington,"L, 71-69 OT"
12-21,High+Point,Florida Atlantic,"W, 55-52 "
12-29,High+Point,Michigan St.,"L, 81-68 "
12-31,High+Point,Kentucky,"L, 92-48 "
1-12,High+Point,USC Upstate,"L, 66-65 "
1-15,High+Point,North Carolina A&T,"W, 78-71 "
1-19,High+Point,Charleston Southern,"L, 70-66 "
1-22,High+Point,Hampton,"L, 68-64 OT"
1-24,High+Point,Winthrop,"W, 65-56 "
1-26,High+Point,Radford,"W, 63-58 "
