Rk,TEAM,CONF,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB,SEED,YEAR,WAS_SEED_AVG
113,"UNC Greensboro
13 seed, ?",SC,29.00,"21-8
13–5","102.3
158","97.5
84",".6355
113","48.2
254","48.1
85","15.6
19","21
58","32.4
44","25.9
94","23.8
332","36.4
284","50.3
145","48.3
116","30
312","31.9
75","68.3
173","-3.5
112",13,2021,0.2
128,"Morehead St.
14 seed, ?",OVC,28.00,"23-7
17–3","99.3
218","96.7
71",".5784
128","51.9
86","47
43","22.9
332","18
220","31.3
68","24.9
61","36.8
48","23.1
13","51.8
88","47.6
96","34.7
119","30.7
33","65.6
300","-2
79",14,2021,0.15
132,"Drexel
16 seed, ?",CAA,19.00,"12-7
4–5","107.9
75","105.1
235",".5764
132","54.3
34","49.6
145","19.6
204","16.4
303","29.4
117","24.3
37","28.5
252","27.2
66","53.5
46","50.4
198","37.2
36","32.1
82","64.4
327","-4.5
140",16,2021,0.033333333
141,"Iona
15 seed, ?",MAAC,17.00,"12-5
6–3","101.1
189","99.5
116",".5453
141","51.2
110","45.6
15","22.4
323","19.6
121","33.4
32","26.1
102","36.1
65","46.3
342","49.9
159","45.8
34","35.5
86","30.1
21","68.5
164","-3.2
107",15,2021,0.05
169,"Oral Roberts
15 seed, ?",Sum,23.00,"16-10
10–5","107.0
84","107.1
276",".4975
169","53.6
47","50.4
186","15.7
22","18.2
204","23.2
295","33
328","27.8
270","33.1
208","49.7
170","49
136","38.8
10","35.6
264","71.4
48","-5.1
154",15,2021,0.05
176,"Cleveland St.
15 seed, ?",Horz,26.00,"19-7
16–4","99.9
209","100.6
142",".4789
176","50.6
133","48.9
121","18.5
149","20.2
90","30.9
75","31.8
304","31.9
164","37.2
295","52.1
78","50.9
222","31.9
258","30.8
35","66.2
277","-2.7
90",15,2021,0.05
186,"Hartford
16 seed, ?",AE,23.00,"15-8
8–6","97.3
257","99.6
120",".4341
186","50.4
150","47.6
61","19
175","20.4
83","24.8
249","28.6
202","28.6
248","25
32","51.3
105","50.7
214","32.7
219","28.7
9","66.9
244","-4.9
151",16,2021,0.033333333
209,"Norfolk St.
16 seed, ?",MEAC,21.00,"16-7
8–4","99.4
217","104.1
217",".3696
209","49.7
185","47.4
54","17.8
111","20.7
69","28.8
139","28.7
209","38.6
27","42
330","46.1
295","47.2
81","37.4
29","31.7
67","67.9
200","-5
153",16,2021,0.033333333
212,"Mount St. Mary's
16 seed, ?",NEC,22.00,"12-10
9–7","95.7
282","100.6
141",".3593
212","48.7
226","45.5
13","20.1
231","16.3
308","31.7
60","24.6
52","29.7
224","24.6
26","47.7
255","45.6
31","33.7
171","30.1
21","62.2
346","-7.2
203",16,2021,0.033333333
217,"Appalachian St.
16 seed, ?",SB,24.00,"17-11
7–8","99.0
226","104.4
227",".3513
217","47.7
274","50.4
186","17.5
96","20
99","27.8
174","30.6
270","33
135","24
23","46.7
280","50.4
198","32.6
226","33.5
150","65.4
302","-7.7
220",16,2021,0.033333333
228,"Texas Southern
16 seed, ?",SWAC,23.00,"16-8
10–3","97.3
259","103.5
205",".3304
228","48.3
250","46.5
30","21.4
291","19.2
142","32.9
35","25.7
87","38.9
21","33.8
230","51
115","45.2
25","27.7
342","32.4
93","71.8
41","-4.5
139",16,2021,0.033333333
